,type,difficulty,category,question,correct_answer,incorrect_answers
19,multiple,easy,History,What was William Frederick Cody better known as?,Buffalo Bill,"['Billy the Kid', 'Wild Bill Hickok', 'Pawnee Bill']"
20,multiple,easy,History,These two countries held a commonwealth from the 16th to 18th century.,Poland and Lithuania,"['Hutu and Rwanda', 'North Korea and South Korea', 'Bangladesh and Bhutan']"
21,multiple,easy,History,Which modern day country is the region that was known as Phrygia in ancient times?,Turkey,"['Syria', 'Greece', 'Egypt']"
22,multiple,easy,History,How old was Adolf Hitler when he died?,56,"['43', '65', '47']"
23,multiple,easy,History,Who discovered Penicillin?,Alexander Flemming,"['Marie Curie', 'Alfred Nobel', 'Louis Pasteur']"
24,multiple,easy,History,In what year did the Wall Street Crash take place?,1929,"['1932', '1930', '1925']"
25,multiple,easy,History,Which of the following countries was not an axis power during World War II?, Soviet Union,"['Italy', 'Germany', 'Japan']"
26,multiple,easy,History,King Henry VIII was the second monarch of which European royal house?,Tudor,"['York', 'Stuart', 'Lancaster']"
27,multiple,easy,History,"Which famous military commander marched an army, which included war elephants, over the Alps during the Second Punic War?",Hannibal,"['Garmanicus', 'Alexander the Great', 'Tiberius']"
28,multiple,easy,History,The original Roman alphabet lacked the following letters EXCEPT:,X,"['W', 'U', 'J']"
29,multiple,easy,History,"In 1453, which important city fell?",Constantinople,"['Rome', 'Hamburg', 'Athens']"
30,multiple,easy,History,What was the name commonly given to the ancient trade routes that connected the East and West of Eurasia?,Silk Road,"['Spice Road', 'Clay Road', 'Salt Road']"
31,multiple,easy,History,What does the United States of America celebrate during the 4th of July?,The signing of the Declaration of Independence,"['The anniversary of the Battle of Gettysburg', 'The crossing of the Delaware River', 'The ratification of the Constitution']"
32,multiple,easy,History,Who was the Prime Minister of Japan when Japan declared war on the US?,Hideki Tojo,"['Michinomiya Hirohito', 'Isoroku Yamamoto', 'Fumimaro Konoe']"
33,multiple,easy,History,"In what year did the Great Northern War, between Russia and Sweden, end?",1721,"['1726', '1727', '1724']"
34,multiple,easy,History,The idea of Socialism was articulated and advanced by whom?,Karl Marx,"['Vladimir Lenin', 'Joseph Stalin', 'Vladimir Putin']"
35,multiple,easy,History,How was Socrates executed?,Poison,"['Decapitation', 'Firing squad', 'Crucifixion ']"
36,multiple,easy,History,Which of the following ancient peoples was NOT classified as Hellenic (Greek)?,Illyrians,"['Dorians', 'Achaeans', 'Ionians']"
37,multiple,easy,History,What is the historical name of Sri Lanka?,Ceylon,"['Myanmar', 'Colombo', 'Badulla']"
38,multiple,easy,History,Which one of these was not a beach landing site in the Invasion of Normandy?,Silver,"['Gold', 'Juno', 'Sword']"
39,multiple,easy,History,"Which famous world leader is famed for the saying, &quot;Let them eat cake&quot;, yet is rumored that he/she never said it at all?",Marie Antoinette,"['Czar Nicholas II', 'Elizabeth I', 'Henry VIII']"
40,multiple,easy,History,In what year was the M1911 pistol designed?,1911,"['1907', '1899', '1917']"
41,multiple,easy,History,Which of the following African countries was most successful in resisting colonization?,Ethiopia,"['C&ocirc;te d&rsquo;Ivoire', 'Congo', 'Namibia']"
42,multiple,easy,History,The &quot;Trail of Tears&quot; was a result of which United States President&#039;s Indian Removal Policy?,Andrew Jackson,"['Harry S. Truman', 'Martin Van Buren', 'John Quincy Adams']"
43,multiple,easy,History,In which year did the Invasion of Kuwait by Iraq occur?,1990,"['1992', '1988', '1986']"
44,multiple,easy,History,Who was the first American in space?,Alan Shephard,"['Neil Armstrong', 'John Glenn', 'Jim Lovell']"
45,multiple,easy,History,Which of the following was Brazil was a former colony under?,Portugal,"['Spain', 'The Netherlands', 'France']"
46,multiple,easy,History,When was Google founded?,"September 4, 1998","['October 9, 1997', 'December 12, 1989', 'Feburary 7th, 2000']"
47,multiple,easy,History,Who rode on horseback to warn the Minutemen that the British were coming during the U.S. Revolutionary War?,Paul Revere,"['Thomas Paine', 'Henry Longfellow', 'Nathan Hale']"
48,multiple,easy,History,Who led the Communist Revolution of Russia?,Vladimir Lenin,"['Joseph Stalin', 'Vladimir Putin', 'Mikhail Gorbachev']"
49,multiple,easy,History,Abolitionist John Brown raided the arsenal in which Virginia Town?,Harper&#039;s Ferry,"['Richmond', 'Harrisonburg', 'Martinsburg']"
