,type,difficulty,category,question,correct_answer,incorrect_answers
24,multiple,medium,Sports,"In 2016, who won the Formula 1 World Constructor&#039;s Championship for the third time in a row?",Mercedes-AMG Petronas,"['Scuderia Ferrari', 'McLaren Honda', 'Red Bull Racing Renault']"
25,multiple,medium,Sports,Which of the following player scored a hat-trick during their Manchester United debut?,Wayne Rooney,"['Cristiano Ronaldo', 'Robin Van Persie', 'David Beckham']"
26,multiple,medium,Sports,"Which country did Kabaddi, a contact sport involving tackling, originate from?",India,"['Australia', 'Turkey', 'Cambodia']"
27,multiple,medium,Sports,How many games did Arsenal FC go unbeaten during the 2003-2004 season of the English Premier League,38,"['51', '49', '22']"
28,multiple,medium,Sports,How many premier league trophies did Sir Alex Ferguson win during his time at Manchester United?,13,"['11', '20', '22']"
29,multiple,medium,Sports,Which country is hosting the 2022 FIFA World Cup?,Qatar,"['Uganda', 'Vietnam', 'Bolivia']"
30,multiple,medium,Sports,Who was the top scorer of the 2014 FIFA World Cup?,James Rodr&iacute;guez,"['Thomas M&uuml;ller', 'Lionel Messi', 'Neymar']"
31,multiple,medium,Sports,What is the name of the AHL affiliate of the Toronto Maple Leafs?,Toronto Marlies,"['Toronto Rock', 'Toronto Argonauts', 'Toronto Wolfpack']"
32,multiple,medium,Sports,What year was hockey legend Wayne Gretzky born?,1961,"['1965', '1959', '1963']"
33,multiple,medium,Sports,"In a game of snooker, what colour ball is worth 3 points?",Green,"['Yellow', 'Brown', 'Blue']"
34,multiple,medium,Sports,What is the nickname of Northampton town&#039;s rugby union club?,Saints,"['Harlequins', 'Saracens', 'Wasps']"
35,multiple,medium,Sports,Which nation hosted the FIFA World Cup in 2006?,Germany,"['United Kingdom', 'Brazil', 'South Africa']"
36,multiple,medium,Sports,Josh Mansour is part of what NRL team?,Penrith Panthers,"['Melbourne Storm', 'Sydney Roosters', 'North Queensland Cowboys']"
37,multiple,medium,Sports,Which soccer team won the Copa Am&eacute;rica Centenario 2016?,Chile,"['Argentina', 'Brazil', 'Colombia']"
38,multiple,medium,Sports,What national team won the 2016 edition of UEFA European Championship?,Portugal,"['France', 'Germany', 'England']"
39,multiple,medium,Sports,Which car manufacturer won the 2017 24 Hours of Le Mans?,Porsche,"['Toyota', 'Audi', 'Chevrolet']"
40,multiple,medium,Sports,A stimpmeter measures the speed of a ball over what surface?,Golf Putting Green,"[' Football Pitch', 'Cricket Outfield', 'Pinball Table']"
41,multiple,medium,Sports,Which of these countries&#039; national teams qualified for the 2018 FIFA World Cup in Russia?,Tunisia,"['United States of America', 'Italy', 'Netherlands']"
42,multiple,medium,Sports,Which team was the 2014-2015 NBA Champions?,Golden State Warriors,"['Cleveland Cavaliers', 'Houston Rockets', 'Atlanta Hawks']"
43,multiple,medium,Sports,Which Formula One driver was nicknamed &#039;The Professor&#039;?,Alain Prost,"['Ayrton Senna', 'Niki Lauda', 'Emerson Fittipaldi']"
44,multiple,medium,Sports,How many scoring zones are there on a conventional dart board?,82,"['62', '42', '102']"
45,multiple,medium,Sports,What cricketing term denotes a batsman being dismissed with a score of zero?,Duck,"['Bye', 'Beamer', 'Carry']"
46,multiple,medium,Sports,What is Tiger Woods&#039; all-time best career golf-score?,61,"['65', '63', '67']"
47,multiple,medium,Sports,Which sport is NOT traditionally played during the Mongolian Naadam festival?,American Football,"['Wrestling', 'Archery', 'Horse-Racing']"
48,multiple,medium,Sports,Which basketball team has attended the most NBA grand finals?,Los Angeles Lakers,"['Boston Celtics', 'Philadelphia 76ers', 'Golden State Warriors']"
49,multiple,medium,Sports,Who was the topscorer for England national football team?,Wayne Rooney,"['David Beckham', 'Steven Gerrard', 'Michael Owen']"
