,type,difficulty,category,question,correct_answer,incorrect_answers
12,multiple,medium,Entertainment: Music,When did The Beatles release the LP &quot;Please Please Me&quot;?,1963,"['1970', '1960', '1969']"
13,multiple,medium,Entertainment: Music,Who is the primary lyricist for Canadian progressive rock band Rush?,Neil Peart,"['Geddy Lee', 'Alex Lifeson', 'John Rutsey']"
14,multiple,medium,Entertainment: Music,What is the real name of Canadian electronic music producer deadmau5?,Joel Zimmerman,"['Sonny Moore', 'Adam Richard Wiles', 'Thomas Wesley Pentz']"
15,multiple,medium,Entertainment: Music,"Which of these songs by artist Eminem contain the lyric &quot;Nice to meet you. Hi, my name is... I forgot my name!&quot;?",Rain Man,"['Without Me', 'Kim', 'Square Dance']"
16,multiple,medium,Entertainment: Music,Which famous 90&#039;s rap album is commonly referred to as &quot;The Bible of Hip Hop&quot;?,Illmatic,"['The Low End Theory', 'The Chronic', 'Enter The Wu-Tang (36 Chambers)']"
17,multiple,medium,Entertainment: Music,What is rapper Drake&#039;s real name?,Aubrey Graham,"['Shaun Carter', 'Dwayne Carter', 'Andre Young']"
18,multiple,medium,Entertainment: Music,Which of these is the name of an American psychedelic rock band formed in 2002 by Benjamin Goldwasser and Andrew VanWyngarden?,MGMT,"['MSTRKRFT', 'STRFKR', 'SBTRKT']"
19,multiple,medium,Entertainment: Music,Which of these is not an Ed Sheeran album?,-,"['+', 'X', '&divide;']"
20,multiple,medium,Entertainment: Music,Which of these languages was NOT included in the 2016 song &quot;Don&#039;t Mind&quot; by Kent Jones?,Portuguese,"['Japanese', 'French', 'Spanish']"
21,multiple,medium,Entertainment: Music,Which of these is not a member of the virtual band Gorillaz?,Phi Cypher,"['Murdoc Niccals', 'Noodle', 'Russel Hobbs']"
22,multiple,medium,Entertainment: Music,Which Iron Maiden album did the song &quot;Dream of Mirrors&quot; feature in?,Brave New World,"['Dance of Death', 'A Matter of Life and Death', 'Somewhere in Time']"
23,multiple,medium,Entertainment: Music,Who released the 1991 album &quot;Out of Time&quot;?,R.E.M.,"['U2', 'Coldplay', 'The Rolling Stones']"
24,multiple,medium,Entertainment: Music,Which artist curated the official soundtrack for &quot;The Hunger Games: Mockingjay - Part 1&quot;?,Lorde,"['Kanye West', 'Tove Lo', 'Charli XCX']"
25,multiple,medium,Entertainment: Music,Which of these is NOT a song by Pegboard Nerds?,WiFi Tears,"['Swamp Thing', 'Emoji', 'BAMF']"
26,multiple,medium,Entertainment: Music,Ellie Goulding&#039;s earliest album was named?,Lights,"['Halcyon', 'Bright Lights', 'Halcyon Days']"
27,multiple,medium,Entertainment: Music,Which one of these people has been in the band &#039;&#039;Metallica&#039;&#039; in the past?,Dave Mustaine,"['Kurt Cobain', 'Joey Belladonna', 'Dave Lombardo']"
28,multiple,medium,Entertainment: Music,Which of these is not a song on the album Graduation by Kanye West?,Waves,"['I Wonder', 'Big Brother', 'The Glory']"
29,multiple,medium,Entertainment: Music,"Irish musician Hozier released a music track in 2013 titled, &quot;Take Me to ______&quot;",Church,"['Mosque', 'Synagogue', 'Temple']"
30,multiple,medium,Entertainment: Music,The &#039;In the Flesh&#039; tour was used in support of what Pink Floyd album?,Animals,"['The Wall', 'Wish You Were Here', 'The Final Cut']"
31,multiple,medium,Entertainment: Music,What is the opening track on Lorde&#039;s Pure Heroine?,Tennis Court,"['Team', 'Royals', '400 Lux']"
32,multiple,medium,Entertainment: Music,Who is the Pink Floyd song &quot;Shine On You Crazy Diamond&quot; written about?,Syd Barrett,"['John Lennon', 'David Gilmour', 'Floyd']"
33,multiple,medium,Entertainment: Music,"Typically, how many keys are on a piano?",88,"['24', '12', '96']"
34,multiple,medium,Entertainment: Music,Which song is not by TheFatRat?,Ascent,"['Monody', 'Windfall', 'Infinite Power!']"
35,multiple,medium,Entertainment: Music,Which one of these Rammstein songs has two official music videos?,Du Riechst So Gut,"['Du Hast', 'Benzin', 'Mein Teil']"
36,multiple,medium,Entertainment: Music,"Which album by American rapper Kanye West contained songs such as &quot;Love Lockdown&quot;, &quot;Paranoid&quot; and &quot;Heartless&quot;?",808s &amp; Heartbreak,"['Late Registration', 'The Life of Pablo', 'Graduation']"
37,multiple,medium,Entertainment: Music,What French artist/band is known for playing on the midi instrument &quot;Launchpad&quot;?,Madeon,"['Daft Punk ', 'Disclosure', 'David Guetta']"
38,multiple,medium,Entertainment: Music,What is the name of French electronic music producer Madeon&#039;s 2015 debut studio album?,Adventure,"['The City', 'Icarus', 'Pop Culture']"
39,multiple,medium,Entertainment: Music,Which country does the electronic music duo &quot;The Knife&quot; originate from?,Sweden,"['Finland', 'Denmark', 'Norway']"
40,multiple,medium,Entertainment: Music,The Proclaimers - I&#039;m Gonna Be (500 Miles) reached what position on the US Hot 100 Charts in 1993?,3rd,"['8th', '1st', '5th']"
41,multiple,medium,Entertainment: Music,Which of these is NOT a name of an album released by American rapper Pitbull?,Welcome to Miami,"['Dale', 'Global Warming', 'Armando']"
42,multiple,medium,Entertainment: Music,"The song &quot;Caramelldansen&quot; is commonly mistaken as a Japanese song, what language is the song actually sung in?",Swedish,"['Hungarian', 'Finnish', 'Chinese']"
43,multiple,medium,Entertainment: Music,Which member of &quot;The Beatles&quot; narrated episodes of &quot;Thomas the Tank Engine&quot;?,Ringo Starr,"['George Harrison', 'John Lennon', 'Paul McCartney']"
44,multiple,medium,Entertainment: Music,The song &quot;Feel Good Inc.&quot; by British band Gorillaz features which hip hop group?,De La Soul,"['Public Enemy', 'OutKast', 'Cypress Hill']"
45,multiple,medium,Entertainment: Music,Which European capital city gives its name to a 1981 song by Ultravox?,Vienna,"['Berlin', 'Paris', 'Brussels']"
46,multiple,medium,Entertainment: Music,What country did Shirley Bassey originate from?,Wales,"['America', 'England', 'Canada']"
47,multiple,medium,Entertainment: Music,"In 2015, David Hasselhof released a single called...",True Survivor,"['True Fighter', 'Real Kung-Fury', 'Real Warrior']"
48,multiple,medium,Entertainment: Music,&quot;Make You Feel My Love&quot; was originally written and performed by which singer-songwriter?,Bob Dylan,"['Elvis', 'Adele', 'Billy Joel']"
49,multiple,medium,Entertainment: Music,In what year was Tchaikovsky&#039;s 1812 Overture composed?,1880,"['1812', '1790', '1840']"
