,type,difficulty,category,question,correct_answer,incorrect_answers
31,multiple,easy,General Knowledge,"In past times, what would a gentleman keep in his fob pocket?",Watch,"['Money', 'Keys', 'Notebook']"
32,multiple,easy,General Knowledge,How many furlongs are there in a mile?,Eight,"['Two', 'Four', 'Six']"
33,multiple,easy,General Knowledge,The Flag of the European Union has how many stars on it?,12,"['10', '14', '16']"
34,multiple,easy,General Knowledge,What is Cynophobia the fear of?,Dogs,"['Birds', 'Flying', 'Germs']"
35,multiple,easy,General Knowledge,Which of these colours is NOT featured in the logo for Google?,Pink,"['Yellow', 'Blue', 'Green']"
36,multiple,easy,General Knowledge,Which American-owned brewery led the country in sales by volume in 2015?,"D. G. Yuengling and Son, Inc","['Anheuser Busch', 'Boston Beer Company', 'Miller Coors']"
37,multiple,easy,General Knowledge,"In aerodynamics, which force pushes an object upwards?",Lift,"['Drag', 'Weight', 'Thrust']"
38,multiple,easy,General Knowledge,What is on display in the Madame Tussaud&#039;s museum in London?,Wax sculptures,"['Designer clothing', 'Unreleased film reels', 'Vintage cars']"
39,multiple,easy,General Knowledge,Which company did Valve cooperate with in the creation of the Vive?,HTC,"['Oculus', 'Google', 'Razer']"
40,multiple,easy,General Knowledge,"What is the profession of Elon Musk&#039;s mom, Maye Musk?",Model,"['Professor', 'Biologist', 'Musician']"
41,multiple,easy,General Knowledge,What was the name of the WWF professional wrestling tag team made up of the wrestlers Ax and Smash?,Demolition,"['The Dream Team', 'The Bushwhackers', 'The British Bulldogs']"
42,multiple,easy,General Knowledge,Earth is located in which galaxy?,The Milky Way Galaxy,"['The Mars Galaxy', 'The Galaxy Note', 'The Black Hole']"
43,multiple,easy,General Knowledge,"According to Sherlock Holmes, &quot;If you eliminate the impossible, whatever remains, however improbable, must be the...&quot;",Truth,"['Answer', 'Cause', 'Source']"
44,multiple,easy,General Knowledge,Which country has the union jack in its flag?,New Zealand,"['South Africa', 'Canada', 'Hong Kong']"
45,multiple,easy,General Knowledge,What zodiac sign is represented by a pair of scales?,Libra,"['Aries', 'Capricorn', 'Sagittarius']"
46,multiple,easy,General Knowledge,Which restaurant&#039;s mascot is a clown?,McDonald&#039;s,"['Whataburger', 'Burger King', 'Sonic']"
47,multiple,easy,General Knowledge,In which fast food chain can you order a Jamocha Shake?,Arby&#039;s,"['McDonald&#039;s', 'Burger King', 'Wendy&#039;s']"
48,multiple,easy,General Knowledge,What is the name of NASA&rsquo;s most famous space telescope?,Hubble Space Telescope,"['Big Eye', 'Death Star', 'Millenium Falcon']"
49,multiple,easy,General Knowledge,The drug cartel run by Pablo Escobar originated in which South American city?,Medell&iacute;n,"['Bogot&aacute;', 'Quito', 'Cali']"
