,type,difficulty,category,question,correct_answer,incorrect_answers
27,multiple,easy,Geography,What is the capital of Spain?,Madrid,"['Barcelona', 'Sevilla', 'Toledo']"
28,multiple,easy,Geography,What is Laos?,Country,"['Region', 'River', 'City']"
29,multiple,easy,Geography,What is the 15th letter of the Greek alphabet?,Omicron (&Omicron;),"['Sigma (&Sigma;)', 'Pi (&Pi;)', 'Nu (&Nu;)']"
30,multiple,easy,Geography,What is the capital of Scotland?,Edinburgh,"['Glasgow', 'Dundee', 'London']"
31,multiple,easy,Geography,What is the capital of the American state of Arizona?,Phoenix,"['Montgomery', 'Tallahassee', 'Raleigh']"
32,multiple,easy,Geography,The body of the Egyptian Sphinx was based on which animal?,Lion,"['Bull', 'Horse', 'Dog']"
33,multiple,easy,Geography,What is the smallest country in the world?,Vatican City,"['Maldives', 'Monaco', 'Malta']"
34,multiple,easy,Geography,Which of these is the name of the largest city in the US state Tennessee?,Memphis,"['Thebes', 'Alexandria', 'Luxor']"
35,multiple,easy,Geography,What is the capital of Jamaica?,Kingston,"['San Juan', 'Port-au-Prince', 'Bridgetown']"
36,multiple,easy,Geography,Which nation claims ownership of Antarctica?,"No one, but there are claims.","['United States of America', 'United Nations', 'Australia']"
37,multiple,easy,Geography,Which US state has the highest population?,California,"['New York', 'Texas', 'Florida']"
38,multiple,easy,Geography,Which country does Austria not border?,France,"['Slovenia', 'Switzerland', 'Slovakia']"
39,multiple,easy,Geography,What is the only state in the United States that does not have a flag in a shape with 4 edges?,Ohio,"['Florida', 'Idaho', 'New Mexico']"
40,multiple,easy,Geography,What name was historically used for the Turkish city currently known as Istanbul?,Constantinople,"['H&uuml;davendigar', 'S&ouml;ğ&uuml;t', 'Adrianople']"
41,multiple,easy,Geography,The Space Needle is located in which city?,Seattle,"['Los Angles', 'Toronto', 'Vancouver']"
42,multiple,easy,Geography,Which ocean borders the west coast of the United States?,Pacific,"['Atlantic', 'Indian', 'Arctic']"
43,multiple,easy,Geography,Which small country is located between the borders of France and Spain?,Andorra,"['San Marino', 'Vatican City', 'Lichtenstein']"
44,multiple,easy,Geography,Which UK country features a dragon on their flag?,Wales,"['England', 'North Ireland', 'Scotland']"
45,multiple,easy,Geography,Which of the following former Yugoslavian states is landlocked?,Serbia,"['Bosnia and Herzegovina', 'Montenegro', 'Croatia']"
46,multiple,easy,Geography,Which of the following Japanese islands is the biggest?,Honshu,"['Hokkaido', 'Shikoku', 'Kyushu']"
47,multiple,easy,Geography,What is the Capital of the United States?,"Washington, D.C.","['Los Angelas, CA', 'New York City, NY', 'Houston, TX']"
48,multiple,easy,Geography,What is the Polish city known to Germans as Danzig?,Gdańsk,"['Warsaw', 'Zakopane', 'Poznań']"
49,multiple,easy,Geography,What country is the second largest in the world by area?,Canada,"['Russia', 'China', 'United States of America']"
