,type,difficulty,category,question,correct_answer,incorrect_answers
25,multiple,medium,General Knowledge,"Which slogan did the fast food company, McDonald&#039;s, use before their &quot;I&#039;m Lovin&#039; It&quot; slogan?",We Love to See You Smile,"['Why Pay More!?', 'Have It Your Way', 'Making People Happy Through Food']"
26,multiple,medium,General Knowledge,Which language is NOT Indo-European?,Hungarian,"['Russian', 'Greek', 'Latvian']"
27,multiple,medium,General Knowledge,What was the destination of the missing flight MH370?,Beijing,"['Kuala Lumpur', 'Singapore', 'Tokyo']"
28,multiple,medium,General Knowledge,Rolex is a company that specializes in what type of product?,Watches,"['Cars', 'Computers', 'Sports equipment']"
29,multiple,medium,General Knowledge,"On average, Americans consume 100 pounds of what per second?",Chocolate,"['Potatoes', 'Donuts', 'Cocaine']"
30,multiple,medium,General Knowledge,Which American manufactured submachine gun was informally known by the American soldiers that used it as &quot;Grease Gun&quot;?,M3,"['Colt 9mm', 'Thompson', 'MAC-10']"
31,multiple,medium,General Knowledge,What fast food chain has the most locations globally? ,Subway,"['Starbucks', 'McDonalds', 'KFC']"
32,multiple,medium,General Knowledge,What is the German word for &quot;spoon&quot;?,L&ouml;ffel,"['Gabel', 'Messer', 'Essst&auml;bchen']"
33,multiple,medium,General Knowledge,Which of the following Ivy League universities has its official motto in Hebrew as well as in Latin?,Yale University,"['Princeton University', 'Harvard University', 'Columbia University']"
34,multiple,medium,General Knowledge,Which of the following carbonated soft drinks were introduced first?,Dr. Pepper,"['Coca-Cola', 'Sprite', 'Mountain Dew']"
35,multiple,medium,General Knowledge,Whose greyscale face is on the kappa emoticon on Twitch?,Josh DeSeno,"['Justin DeSeno', 'John DeSeno', 'Jimmy DeSeno']"
36,multiple,medium,General Knowledge,"According to the BBPA, what is the most common pub name in the UK?",Red Lion,"['Royal Oak', 'White Hart', 'King&#039;s Head']"
37,multiple,medium,General Knowledge,"What did the Spanish autonomous community of Catalonia ban in 2010, that took effect in 2012?",Bullfighting,"['Fiestas', 'Flamenco', 'Mariachi']"
38,multiple,medium,General Knowledge,What is a dead mall?,A mall with high vacancy rates or low consumer foot traffic,"['A mall with no stores', 'A mall that has been condemed', 'A mall after business hours']"
39,multiple,medium,General Knowledge,Earl Grey tea is black tea flavoured with what?,Bergamot oil,"['Lavender', 'Vanilla', 'Honey']"
40,multiple,medium,General Knowledge,What is real haggis made of?,"Sheep&#039;s Heart, Liver and Lungs","['Sheep&#039;s Heart, Kidneys and Lungs', 'Sheep&#039;s Liver, Kidneys and Eyes', 'Whole Sheep']"
41,multiple,medium,General Knowledge,"What country saw a world record 315 million voters turn out for elections on May 20, 1991?",India,"['United States of America', 'Soviet Union', 'Poland']"
42,multiple,medium,General Knowledge,In 2013 how much money was lost by Nigerian scams?,$12.7 Billion,"['$95 Million', '$956 Million', '$2.7 Billion']"
43,multiple,medium,General Knowledge,What direction does the Statue of Liberty face?,Southeast,"['Southwest', 'Northwest', 'Northeast']"
44,multiple,medium,General Knowledge,The website &quot;Shut Up &amp; Sit Down&quot; reviews which form of media?,Board Games,"['Television Shows', 'Video Games', 'Films']"
45,multiple,medium,General Knowledge,Who invented Pastafarianism?,Bobby Henderson,"['Eric Tignor', 'Bill Nye', 'Zach Soldi']"
46,multiple,medium,General Knowledge,What is the name given to Indian food cooked over charcoal in a clay oven?,Tandoori,"['Biryani', 'Pani puri', 'Tiki masala']"
47,multiple,medium,General Knowledge,"In the Morse code, which letter is indicated by 3 dots? ",S,"['O', 'A', 'C']"
48,multiple,medium,General Knowledge,What is the star sign of someone born on Valentines day?,Aquarius,"['Pisces', 'Capricorn', 'Scorpio']"
49,multiple,medium,General Knowledge,Apple co-founder Steve Jobs died from complications of which form of cancer?,Pancreatic,"['Bone', 'Liver', 'Stomach']"
