,type,difficulty,category,question,correct_answer,incorrect_answers
18,multiple,hard,Geography,Which country is the Taedong River in?,North Korea,"['South Korea', 'Japan', 'China']"
19,multiple,hard,Geography,"What is the capital of Wisconsin, USA?",Madison,"['Milwaukee', 'Wisconsin Dells', 'Green Bay']"
20,multiple,hard,Geography,What is the name of one of the Neo-Aramaic languages spoken by the Jewish population from Northwestern Iraq?,Lishana Deni,"['Hulaul&aacute;', 'Lishan Didan', 'Chaldean Neo-Aramaic']"
21,multiple,hard,Geography,What is the name of rocky region that spans most of eastern Canada?,Canadian Shield,"['Rocky Mountains', 'Appalachian Mountains', 'Himalayas']"
22,multiple,hard,Geography,"What is the name of the formerly rich fishing grounds off the island of Newfoundland, Canada?",Grand Banks,"['Great Barrier Reef', 'Mariana Trench', 'Hudson Bay']"
23,multiple,hard,Geography,What is the capital city of Bermuda?,Hamilton,"['Santo Dominigo', 'San Juan', 'Havana']"
24,multiple,hard,Geography,Which is the largest freshwater lake in the world?,Lake Superior ,"['Caspian Sea', 'Lake Michigan', 'Lake Huron']"
25,multiple,hard,Geography,"What is the most common climbing route for the second highest mountain in the world, K2?",Abruzzi Spur,"['Magic Line', 'Cesen Route', 'Polish Line']"
26,multiple,hard,Geography,Which country was NOT formerly part of Yugoslavia?,Albania,"['Croatia', 'Serbia', 'Macedonia']"
27,multiple,hard,Geography,Which country is completely landlocked by South Africa?,Lesotho,"['Swaziland', 'Botswana', 'Zimbabwe']"
28,multiple,hard,Geography,"What national museum will you find in Cooperstown, New York?",National Baseball Hall of Fame,"['Metropolitan Museum of Art', 'National Toy Hall of Fame', 'Museum of Modern Art']"
29,multiple,hard,Geography,Which of the following Inuit languages was the FIRST to use a unique writing system not based on the Latin alphabet?,Inuktitut,"['Inuinnaqtun', 'Greenlandic', 'Inupiat']"
30,multiple,hard,Geography,"In which city, is the Big Nickel located in Canada?","Sudbury, Ontario","['Calgary, Alberta', 'Halifax, Nova Scotia ', 'Victoria, British Columbia']"
31,multiple,hard,Geography,The Hunua Ranges is located in...,New Zealand,"['Nepal', 'China', 'Mexico']"
32,multiple,hard,Geography,What city is known as the Rose Capital of the World?,"Tyler, Texas","['San Diego, California', 'Miami, Florida', 'Anaheim, California']"
33,multiple,hard,Geography,What is the second-largest city in Lithuania?,Kaunas,"['Panevėžys', 'Vilnius', 'Klaipėda']"
34,multiple,hard,Geography,When does Finland celebrate their independence day?,December 6th,"['January 2nd', 'November 12th', 'February 8th']"
35,multiple,hard,Geography,What is Canada&#039;s largest island?,Baffin Island,"['Prince Edward Island', 'Vancouver Island', 'Newfoundland']"
36,multiple,hard,Geography,What is the largest freshwater lake by volume?,Lake Baikal,"['Lake Superior', 'Lake Huron', 'Lake Michigan']"
37,multiple,hard,Geography,How many stations does the Central Line have on the London Underground?,49,"['51', '43', '47']"
38,multiple,hard,Geography,What is the largest city and commercial capital of Sri Lanka?,Colombo,"['Moratuwa', 'Negombo', 'Kandy']"
39,multiple,hard,Geography,Which of these is NOT a province in China?,Yangtze,"['Fujian', 'Sichuan', 'Guangdong']"
40,multiple,hard,Geography,Llanfair&shy;pwllgwyngyll&shy;gogery&shy;chwyrn&shy;drobwll&shy;llan&shy;tysilio&shy;gogo&shy;goch is located on which Welsh island?,Anglesey,"['Barry', 'Bardsey', 'Caldey']"
41,multiple,hard,Geography,Into which basin does the Jordan River flow into?,Dead Sea,"['Aral Sea', 'Caspian Sea', 'Salton Sea']"
42,multiple,hard,Geography,What is the capital of Mauritius?,Port Louis,"['Port Moresby', 'Port Vila', 'Port-au-Prince']"
43,multiple,hard,Geography,What is the Finnish word for &quot;Finland&quot;?,Suomi,"['Eesti', 'Magyarorsz&aacute;g', 'Sverige']"
44,multiple,hard,Geography,"Bir Tawil, an uninhabited track of land claimed by no country, is located along the border of which two countries?",Egypt and Sudan,"['Israel and Jordan', 'Chad and Libya', 'Iraq and Saudi Arabia']"
45,multiple,hard,Geography,Which of these countries is NOT a part of the Asian continent?,Suriname,"['Georgia', 'Russia', 'Singapore']"
46,multiple,hard,Geography,Which of these is NOT a city in India?,Islamabad,"['Hyderabad', 'Ahmedabad', 'Ghaziabad']"
47,multiple,hard,Geography,The Maluku islands (informally known as the Spice Islands) belong to which country?,Indonesia,"['Chile', 'New Zealand', 'Fiji']"
48,multiple,hard,Geography,Where is the fast food chain &quot;Panda Express&quot; headquartered?,"Rosemead, California","['Sacramento, California', 'Fresno, California', 'San Diego, California']"
49,multiple,hard,Geography,What is the most populous Muslim-majority nation in 2010?,Indonesia,"['Saudi Arabia', 'Iran', 'Sudan']"
