,type,difficulty,category,question,correct_answer,incorrect_answers
15,multiple,easy,Science: Computers,Which computer hardware device provides an interface for all other connected devices to communicate?,Motherboard,"['Central Processing Unit', 'Hard Disk Drive', 'Random Access Memory']"
16,multiple,easy,Science: Computers,The C programming language was created by this American computer scientist. ,Dennis Ritchie,"['Tim Berners Lee', 'al-Khwārizmī', 'Willis Ware']"
17,multiple,easy,Science: Computers,What does the Prt Sc button do?,Captures what&#039;s on the screen and copies it to your clipboard,"['Nothing', 'Saves a .png file of what&#039;s on the screen in your screenshots folder in photos', 'Closes all windows']"
18,multiple,easy,Science: Computers,"In computing, what does LAN stand for?",Local Area Network,"['Long Antenna Node', 'Light Access Node', 'Land Address Navigation']"
19,multiple,easy,Science: Computers,"Which company was established on April 1st, 1976 by Steve Jobs, Steve Wozniak and Ronald Wayne?",Apple,"['Microsoft', 'Atari', 'Commodore']"
0,multiple,easy,Science: Computers,"In computing, what does LAN stand for?",Local Area Network,"['Long Antenna Node', 'Light Access Node', 'Land Address Navigation']"
1,multiple,easy,Science: Computers,What is the most preferred image format used for logos in the Wikimedia database?,.svg,"['.png', '.jpeg', '.gif']"
2,multiple,easy,Science: Computers,What is the domain name for the country Tuvalu?,.tv,"['.tu', '.tt', '.tl']"
3,multiple,easy,Science: Computers,This mobile OS held the largest market share in 2012.,iOS,"['Android', 'BlackBerry', 'Symbian']"
4,multiple,easy,Science: Computers,"In computing, what does MIDI stand for?",Musical Instrument Digital Interface,"['Musical Interface of Digital Instruments', 'Modular Interface of Digital Instruments', 'Musical Instrument Data Interface']"
5,multiple,easy,Science: Computers,The C programming language was created by this American computer scientist. ,Dennis Ritchie,"['Tim Berners Lee', 'al-Khwārizmī', 'Willis Ware']"
6,multiple,easy,Science: Computers,The programming language &#039;Swift&#039; was created to replace what other programming language?,Objective-C,"['C#', 'Ruby', 'C++']"
7,multiple,easy,Science: Computers,Which programming language shares its name with an island in Indonesia?,Java,"['Python', 'C', 'Jakarta']"
8,multiple,easy,Science: Computers,What does the computer software acronym JVM stand for?,Java Virtual Machine,"['Java Vendor Machine', 'Java Visual Machine', 'Just Virtual Machine']"
9,multiple,easy,Science: Computers,"On Twitter, what was the original character limit for a Tweet?",140,"['120', '160', '100']"
10,multiple,easy,Science: Computers,"According to the International System of Units, how many bytes are in a kilobyte of RAM?",1000,"['512', '1024', '500']"
11,multiple,easy,Science: Computers,What does the Prt Sc button do?,Captures what&#039;s on the screen and copies it to your clipboard,"['Nothing', 'Saves a .png file of what&#039;s on the screen in your screenshots folder in photos', 'Closes all windows']"
12,multiple,easy,Science: Computers,"In web design, what does CSS stand for?",Cascading Style Sheet,"['Counter Strike: Source', 'Corrective Style Sheet', 'Computer Style Sheet']"
13,multiple,easy,Science: Computers,The numbering system with a radix of 16 is more commonly referred to as ,Hexidecimal,"['Binary', 'Duodecimal', 'Octal']"
14,multiple,easy,Science: Computers,What does the &quot;MP&quot; stand for in MP3?,Moving Picture,"['Music Player', 'Multi Pass', 'Micro Point']"
15,multiple,easy,Science: Computers,Which computer hardware device provides an interface for all other connected devices to communicate?,Motherboard,"['Central Processing Unit', 'Hard Disk Drive', 'Random Access Memory']"
16,multiple,easy,Science: Computers,What amount of bits commonly equals one byte?,8,"['1', '2', '64']"
17,multiple,easy,Science: Computers,How many kilobytes in one gigabyte (in decimal)?,1000000,"['1024', '1000', '1048576']"
18,multiple,easy,Science: Computers,Which computer language would you associate Django framework with?,Python,"['C#', 'C++', 'Java']"
19,multiple,easy,Science: Computers,How many values can a single byte represent?,256,"['8', '1', '1024']"
20,multiple,easy,Science: Computers,How long is an IPv6 address?,128 bits,"['32 bits', '64 bits', '128 bytes']"
21,multiple,easy,Science: Computers,What does LTS stand for in the software market?,Long Term Support,"['Long Taco Service', 'Ludicrous Transfer Speed', 'Ludicrous Turbo Speed']"
22,multiple,easy,Science: Computers,The series of the Intel HD graphics generation succeeding that of the 5000 and 6000 series (Broadwell) is called:,HD Graphics 500,"['HD Graphics 700 ', 'HD Graphics 600', 'HD Graphics 7000']"
23,multiple,easy,Science: Computers,HTML is what type of language?,Markup Language,"['Macro Language', 'Programming Language', 'Scripting Language']"
24,multiple,easy,Science: Computers,What does CPU stand for?,Central Processing Unit,"['Central Process Unit', 'Computer Personal Unit', 'Central Processor Unit']"
25,multiple,easy,Science: Computers,What is the code name for the mobile operating system Android 7.0?,Nougat,"['Ice Cream Sandwich', 'Jelly Bean', 'Marshmallow']"
26,multiple,easy,Science: Computers,"In &quot;Hexadecimal&quot;, what color would be displayed from the color code? &quot;#00FF00&quot;?",Green,"['Red', 'Blue', 'Yellow']"
27,multiple,easy,Science: Computers,What language does Node.js use?,JavaScript,"['Java', 'Java Source', 'Joomla Source Code']"
28,multiple,easy,Science: Computers,What does GHz stand for?,Gigahertz,"['Gigahotz', 'Gigahetz', 'Gigahatz']"
29,multiple,easy,Science: Computers,"In the programming language Java, which of these keywords would you put on a variable to make sure it doesn&#039;t get modified?",Final,"['Static', 'Private', 'Public']"
