,type,difficulty,category,question,correct_answer,incorrect_answers
32,multiple,medium,Science: Computers,What is the correct term for the metal object in between the CPU and the CPU fan within a computer system?,Heat Sink,"['CPU Vent', 'Temperature Decipator', 'Heat Vent']"
33,multiple,medium,Science: Computers,"In programming, the ternary operator is mostly defined with what symbol(s)?",?:,"['??', 'if then', '?']"
34,multiple,medium,Science: Computers,Which of these people was NOT a founder of Apple Inc?,Jonathan Ive,"['Steve Jobs', 'Ronald Wayne', 'Steve Wozniak']"
35,multiple,medium,Science: Computers,Moore&#039;s law originally stated that the number of transistors on a microprocessor chip would double every...,Year,"['Four Years', 'Two Years', 'Eight Years']"
36,multiple,medium,Science: Computers,Whistler was the codename of this Microsoft Operating System.,Windows XP,"['Windows 2000', 'Windows 7', 'Windows 95']"
37,multiple,medium,Science: Computers,"In computing terms, typically what does CLI stand for?",Command Line Interface,"['Common Language Input', 'Control Line Interface', 'Common Language Interface']"
38,multiple,medium,Science: Computers,What five letter word is the motto of the IBM Computer company?,Think,"['Click', 'Logic', 'Pixel']"
39,multiple,medium,Science: Computers,What does RAID stand for?,Redundant Array of Independent Disks,"['Rapid Access for Indexed Devices', 'Range of Applications with Identical Designs', 'Randomized Abstract Identification Description']"
40,multiple,medium,Science: Computers,"In CSS, which of these values CANNOT be used with the &quot;position&quot; property?",center,"['static', 'absolute', 'relative']"
41,multiple,medium,Science: Computers,Nvidia&#039;s headquarters are based in which Silicon Valley city?,Santa Clara,"['Palo Alto', 'Cupertino', 'Mountain View']"
42,multiple,medium,Science: Computers,What is the number of keys on a standard Windows Keyboard?,104,"['64', '94', '76']"
43,multiple,medium,Science: Computers,What is the name of the default theme that is installed with Windows XP?,Luna,"['Neptune', 'Whistler', 'Bliss']"
44,multiple,medium,Science: Computers,What does the &#039;S&#039; in the RSA encryption algorithm stand for?,Shamir,"['Secure', 'Schottky', 'Stable']"
45,multiple,medium,Science: Computers,Approximately how many Apple I personal computers were created?,200,"['100', '500', '1000']"
46,multiple,medium,Science: Computers,What is the main CPU is the Sega Mega Drive / Sega Genesis?,Motorola 68000,"['Zilog Z80', 'Yamaha YM2612', 'Intel 8088']"
47,multiple,medium,Science: Computers,How many bits make up the significand portion of a single precision floating point number?,23,"['8', '53', '15']"
48,multiple,medium,Science: Computers,What is known as &quot;the brain&quot; of the Computer?,Central Processing Unit,"['Motherboard', 'Graphics Processing Unit', 'Keyboard']"
49,multiple,medium,Science: Computers,.rs is the top-level domain for what country?,Serbia,"['Romania', 'Russia', 'Rwanda']"
