,type,difficulty,category,question,correct_answer,incorrect_answers
35,multiple,medium,History,Who was the last Roman emperor in the Year of Four Emperors (69 AD)?,Vespasian,"['Vitellius', 'Otho', 'Galba']"
36,multiple,medium,History,"John Moses Browning, the designer of the M1918 BAR (Browning Automatic Rifle) was a part of which religion?",Mormon,"['Catholic', 'Jewish', 'Atheist']"
37,multiple,medium,History,Which country gifted the Statue of Liberty to the United States of America?,France,"['Spain', 'England', 'Germany']"
38,multiple,medium,History,What was the bloodiest single-day battle during the American Civil War?,The Battle of Antietam,"['The Siege of Vicksburg', 'The Battle of Gettysburg', 'The Battles of Chancellorsville']"
39,multiple,medium,History,"In World War I, what was the name of the alliance of Germany, Austria-Hungary, the Ottoman Empire, and Bulgaria?",The Central Powers,"['The Axis Powers', 'The Federation of Empires', 'Authoritarian Alliance']"
40,multiple,medium,History,"The Tsar Bomba, the most powerful nuclear bomb ever tested, had a yield of 50 megatons but theoretically had a maximum yield of how much?",100 Megatons,"['200 Megatons', '75 Megatons', '150 Megatons']"
41,multiple,medium,History,What year did the Battle of Agincourt take place?,1415,"['1463', '1401', '1422']"
42,multiple,medium,History,The Panama Canal was finished under the administration of which U.S. president?,Woodrow Wilson,"['Franklin Delano Roosevelt', 'Herbert Hoover', 'Theodore Roosevelt']"
43,multiple,medium,History,Where and when was the first cardboard box made for industrial use?,"England, 1817","['United States, 1817', 'England, 1917', 'United States, 1917']"
44,multiple,medium,History,Which Las Vegas casino was originally constructed and operated by mobster Bugsy Siegel?,The Flamingo,"['The MGM Grand', 'The Sands', 'The Sahara']"
45,multiple,medium,History,In what year did the Berlin Wall fall?,1989,"['1987', '1991', '1993']"
46,multiple,medium,History,Which of these countries was NOT a part of the Soviet Union?,Afghanistan,"['Turkmenistan', 'Kazakhstan', 'Uzbekistan']"
47,multiple,medium,History,What is the mnemonic device for remembering the fates of the wives of Henry VIII?,"Divorced, Beheaded, Died, Divorced, Beheaded, Survived","['Beheaded, Died, Divorced, Divorced, Beheaded, Survived', 'Died, Beheaded, Divorced, Beheaded, Survived, Divorced', 'Survived, Beheaded, Died, Divorced, Divorced, Beheaded']"
48,multiple,medium,History,What year did the Boxing Day earthquake &amp; tsunami occur in the Indian Ocean?,2004,"['2006', '2008', '2002']"
49,multiple,medium,History,What was the total length of the Titanic?,882 ft | 268.8 m,"['759 ft | 231.3 m', '1042 ft | 317.6 m', '825 ft | 251.5 m']"
