,type,difficulty,category,question,correct_answer,incorrect_answers
24,multiple,hard,Entertainment: Music,Who recorded the 1975 album &#039;Captain Fantastic and the Brown Dirt Cowboy&#039;?,Elton John,"['John Denver', 'Billy Joel', 'Joe Cocker']"
25,multiple,hard,Entertainment: Music,Which of these songs was released in 1996?,The Smashing Pumpkins - &quot;1979&quot;,"['Prince - &quot;1999&quot;', 'James Blunt - &quot;1973&quot;', 'David Bowie - &quot;1984&quot;']"
26,multiple,hard,Entertainment: Music,Who sings the rap song &quot;Secret Wars Part 1&quot;?,The Last Emperor,"['MC Frontalot', 'Busdriver', 'Masta Killa']"
27,multiple,hard,Entertainment: Music,Who won the 1989 Drum Corps International championships?,Santa Clara Vanguard,"['Blue Devils', 'The Academy', 'The Bluecoats']"
28,multiple,hard,Entertainment: Music,Which of these artists did NOT remix the song &quot;Faded&quot; by Alan Walker?,Skrillex,"['Ti&euml;sto', 'Slushii', 'Dash Berlin']"
29,multiple,hard,Entertainment: Music,Which M83 album is the song &quot;Midnight City&quot; featured in?,"Hurry Up, We&#039;re Dreaming","['Saturdays = Youth', 'Before the Dawn Heals Us', 'Junk']"
30,multiple,hard,Entertainment: Music,On which Beatles album would you find the song &#039;Eleanor Rigby&#039;?,Revolver,"['Help!', 'Rubber Soul', 'Abbey Road']"
31,multiple,hard,Entertainment: Music,&quot;All the Boys&quot; by Panic! At the Disco was released as a bonus track on what album?,"Too Weird To Live, Too Rare To Die!","['A Fever You Can&#039;t Sweat Out', 'Death Of A Bachelor', 'Vices &amp; Virtues']"
32,multiple,hard,Entertainment: Music,"In Kendrick Lamar&#039;s 2012 album, &quot;Good Kid, M.A.A.D City&quot;, the album&#039;s story takes place in which city?",Compton,"['Detroit', 'New York', 'Baltimore']"
33,multiple,hard,Entertainment: Music,Which Elton John hit starts with the line &quot;When are you gonna come down&quot;?,Goodbye Yellow Brick Road,"['Rocket Man', 'Bennie and the Jets', 'Crocodile Rock']"
34,multiple,hard,Entertainment: Music,Which of these is NOT a song featured on the Lockjaw EP released in 2013 by Flume &amp; Chet Faker?,Left Alone,"['What About Us', 'This Song Is Not About A Girl', 'Drop The Game']"
35,multiple,hard,Entertainment: Music,Pamina and Papageno are characters in what Mozart opera?,The Magic Flute,"['The Marriage of Figaro', 'The Impresario', 'The Goose of Cairo']"
36,multiple,hard,Entertainment: Music,Which of these aliases has NOT been used by electronic musician Aphex Twin?,Burial,"['Caustic Window', 'Bradley Strider', 'GAK']"
37,multiple,hard,Entertainment: Music,What song originally performed by The Bee Gees in 1978 had a cover version by Steps 20 years later?,Tragedy,"['Night Fever', 'Stayin&#039; Alive', 'You Should Be Dancing']"
38,multiple,hard,Entertainment: Music,What was the name of the rock band that Nobuo Uematsu formed that played songs from various Final Fantasy games?,The Black Mages,"['The Final Fantasies', 'The Espers', 'The Rock Summoners']"
39,multiple,hard,Entertainment: Music,Artis Leon Ivey Jr. is better known as which rap artist?,Coolio,"['Dr Dre', 'Snoop Dogg', 'Ice T']"
40,multiple,hard,Entertainment: Music,Which of these songs is not by Tatsuro Yamashita?,Lucky Lady Feel So Good ,"['Merry-Go Round', 'Let&#039;s Dance Baby', 'Love Talkin&#039;']"
41,multiple,hard,Entertainment: Music,Bj&ouml;rk&#039;s &quot;Unison&quot; contains a sample of which Oval song?,Aero Deck,"['Textuell', 'Panorama', 'Do While']"
42,multiple,hard,Entertainment: Music,What is the British term for a 64th note?,Hemidemisemiquaver,"['Semihemidemisemiquaver', 'Semiquaver', 'Demisemiquaver']"
43,multiple,hard,Entertainment: Music,"Who designed the album cover for True Romance, an album by Estelle?",Rebecca Sugar,"['Matt Burnett', 'Ian Jones Quartey', 'Ben Leven']"
44,multiple,hard,Entertainment: Music,The key of sharps does the key of G# minor contain?,5,"['3', '7', '0']"
45,multiple,hard,Entertainment: Music,Where was Nicki Minaj born?,Trinidad and Tobago,"['Haiti', 'Saint Lucia', 'Grenada']"
46,multiple,hard,Entertainment: Music,What is the official name of Prince&#039;s backing band?,The Revolution,"['The Paupers', 'The Wailers', 'The Heartbreakers']"
47,multiple,hard,Entertainment: Music,Which of Michael Jackson&#039;s albums sold the most copies?,Thriller,"['Dangerous', 'Bad', 'Off the Wall']"
48,multiple,hard,Entertainment: Music,The heavy metal band Black Sabbath hail from which English city?,Birmingham,"['Manchester', 'London', 'Newcastle-Upon-Tyne']"
49,multiple,hard,Entertainment: Music,Electronic artists Boys Noize and Skrillex have collaborated and released tracks under what name?,Dog Blood,"['Jack &Uuml;', 'What So Not', 'Noisia']"
